data,preco_gasolina,preco_gasolina_real,postos_pesquisados,indice_ipca,ipca_mensal,salario_minimo,litros_por_salario,custo_tanque_50l,percentual_salario_tanque,indice_gasolina_100,indice_ipca_100,indice_salario_100
2021-04-01,5.448,7.329065535784243,13478.0,5692.31,0.31,1100,201.90895741556534,272.40000000000003,24.763636363636365,179.68337730870715,138.492287479928,139.59390862944164
2021-05-01,5.604,7.476865634299492,15498.0,5739.56,0.83,1100,196.28836545324768,280.2,25.47272727272727,184.82849604221636,139.64186657583576,139.59390862944164
2021-06-01,5.687,7.547601639867037,18804.0,5769.98,0.53,1100,193.42359767891682,284.35,25.85,187.56596306068602,140.38197654615348,139.59390862944164
2021-07-01,5.807,7.6335817484554624,18134.0,5825.37,0.96,1100,189.42655415877388,290.35,26.395454545454548,191.523746701847,141.72959953286946,139.59390862944164
2021-08-01,5.933,7.731947837407781,20490.0,5876.05,0.87,1100,185.4036743637283,296.65,26.96818181818181,195.67941952506595,142.9626295557394,139.59390862944164
2021-09-01,6.078,7.830087251291593,19641.0,5944.21,1.16,1100,180.9805857189865,303.90000000000003,27.62727272727273,200.46174142480214,144.6209430198044,139.59390862944164
2021-10-01,6.341,8.068054373923113,18692.0,6018.51,1.25,1100,173.47421542343477,317.05,28.82272727272727,209.1358839050132,146.42864094204663,139.59390862944164
2021-11-01,6.744,8.500060259822341,21514.0,6075.69,0.95,1100,163.10794780545672,337.2,30.654545454545453,222.42744063324537,147.81981412096735,139.59390862944164
2021-12-01,6.67,8.345870141371625,20695.0,6120.04,0.73,1100,164.9175412293853,333.5,30.318181818181817,219.9868073878628,148.89883703956014,139.59390862944164
2022-01-01,6.635,8.2574834026481,19920.0,6153.09,0.54,1212,182.66767143933686,331.75,27.372112211221122,218.83245382585753,149.70293416378766,153.80710659898477
2022-02-01,6.6,8.131788635676175,20006.0,6215.24,1.01,1212,183.63636363636365,330.0,27.22772277227723,217.67810026385223,151.21502603279646,153.80710659898477
2022-03-01,7.012,8.50167794133247,23030.0,6315.93,1.62,1212,172.8465487735311,350.59999999999997,28.927392739273927,231.26649076517148,153.66478516860496,153.80710659898477
2022-04-01,7.245,8.692040873398842,20863.0,6382.88,1.06,1212,167.28778467908901,362.25,29.888613861386137,238.95118733509233,155.29365967592818,153.80710659898477
2022-05-01,7.28,8.693172864609972,24261.0,6412.88,0.47,1212,166.48351648351647,364.0,30.033003300330037,240.10554089709763,156.02355116539343,153.80710659898477
2022-06-01,7.25,8.599726217306783,24407.0,6455.85,0.67,1212,167.17241379310346,362.5,29.909240924092412,239.11609498680738,157.0689990754708,153.80710659898477
2022-07-01,6.05,7.2254566083640706,21917.0,6411.95,-0.68,1212,200.3305785123967,302.5,24.95874587458746,199.5382585751979,156.00092452922,153.80710659898477
2022-08-01,5.39,6.460479662287697,26424.0,6388.87,-0.36,1212,224.86085343228203,269.5,22.235973597359738,177.77044854881265,155.43939467665808,153.80710659898477
2022-09-01,5.0,6.010456270779895,12154.0,6370.34,-0.29,1212,242.4,250.0,20.627062706270628,164.90765171503958,154.98856503333172,153.80710659898477
2022-10-01,4.89,5.843743564614469,8849.0,6407.93,0.59,1212,247.85276073619633,244.49999999999997,20.17326732673267,161.2796833773087,155.90311906963166,153.80710659898477
2022-11-01,5.04,5.998408380218209,13443.0,6434.2,0.41,1212,240.47619047619048,252.0,20.792079207920793,166.22691292875987,156.54226071724005,153.80710659898477
2022-12-01,4.97,5.878651378031506,13541.0,6474.09,0.62,1212,243.8631790744467,248.5,20.503300330033003,163.91820580474933,157.51277310106565,153.80710659898477
2023-01-01,5.05,5.941788534816545,17732.0,6508.4,0.53,1302,257.82178217821786,252.5,19.393241167434716,166.55672823218995,158.3475256678507,165.2284263959391
2023-02-01,5.09,5.938965407956947,16013.0,6563.07,0.84,1302,255.7956777996071,254.5,19.546850998463903,167.87598944591028,159.67763125881953,165.2284263959391
2023-03-01,5.52,6.395276859510383,18512.0,6609.67,0.71,1302,235.8695652173913,276.0,21.19815668202765,182.05804749340368,160.8113960391222,165.2284263959391
2023-04-01,5.51,6.344985827046356,17619.0,6649.99,0.61,1302,236.29764065335755,275.5,21.15975422427035,181.7282321899736,161.79237020096346,165.2284263959391
2023-05-01,5.39,6.192562758053675,22262.0,6665.28,0.23,1320,244.8979591836735,269.5,20.416666666666668,177.77044854881265,162.16437156342758,167.51269035532994
2023-06-01,5.38,6.186020525679622,18686.0,6659.95,-0.08,1320,245.35315985130111,269.0,20.37878787878788,177.44063324538257,162.03469417546592,167.51269035532994
2023-07-01,5.61,6.44274922989709,20770.0,6667.94,0.12,1320,235.2941176470588,280.5,21.25,185.0263852242744,162.2290886088268,167.51269035532994
2023-08-01,5.71,6.542541731006332,21321.0,6683.28,0.23,1320,231.17338003502627,285.5,21.62878787878788,188.32453825857522,162.60230645710672,167.51269035532994
2023-09-01,5.83,6.662711717950172,18534.0,6700.66,0.26,1320,226.41509433962264,291.5,22.083333333333332,192.28232189973616,163.02515692667023,167.51269035532994
2023-10-01,5.73,6.532751438942106,21858.0,6716.74,0.24,1320,230.36649214659684,286.5,21.704545454545453,188.98416886543538,163.4163787650236,167.51269035532994
2023-11-01,5.63,6.400816548017607,19956.0,6735.55,0.28,1320,234.45825932504442,281.5,21.325757575757574,185.68601583113457,163.8740207289183,167.51269035532994
2023-12-01,5.6,6.331253294199107,18822.0,6773.27,0.56,1320,235.71428571428572,280.0,21.21212121212121,184.6965699208443,164.79173762833926,167.51269035532994
2024-01-01,5.57,6.270995586410496,22735.0,6801.72,0.42,1412,253.5008976660682,278.5,19.723796033994333,183.70712401055408,165.48391805751547,179.18781725888323
2024-02-01,5.75,6.420363960065147,19457.0,6858.17,0.83,1412,245.56521739130434,287.5,20.361189801699716,189.6437994722955,166.85733054352588,179.18781725888323
2024-03-01,5.74,6.398962635788468,18955.0,6869.14,0.16,1412,245.99303135888502,287.0,20.325779036827196,189.31398416886543,167.124227531507,179.18781725888323
2024-04-01,5.8,6.441376079730364,22464.0,6895.24,0.38,1412,243.44827586206898,290.0,20.53824362606232,191.29287598944592,167.75923312734173,179.18781725888323
2024-05-01,5.86,6.478209459849631,19892.0,6926.96,0.46,1412,240.95563139931738,293.0,20.75070821529745,193.2717678100264,168.53097172886967,179.18781725888323
2024-06-01,5.85,6.4535987847024625,19016.0,6941.51,0.21,1412,241.3675213675214,292.5,20.71529745042493,192.9419525065963,168.8849691012603,179.18781725888323
2024-07-01,6.04,6.637976374483523,20530.0,6967.89,0.38,1412,233.7748344370861,302.0,21.388101983002834,199.2084432717678,169.5267870176634,179.18781725888323
2024-08-01,6.11,6.716246364745568,17279.0,6966.5,-0.02,1412,231.09656301145662,305.5,21.635977337110482,201.51715039577834,169.49296871198482,179.18781725888323
2024-09-01,6.08,6.653994612092066,19177.0,6997.15,0.44,1412,232.23684210526315,304.0,21.529745042492916,200.5277044854881,170.23867451705513,179.18781725888323
2024-10-01,6.09,6.6278266795332215,18706.0,7036.33,0.56,1412,231.85550082101807,304.5,21.56515580736544,200.85751978891818,171.19191280229674,179.18781725888323
2024-11-01,6.1,6.612921003939821,16172.0,7063.77,0.39,1412,231.47540983606558,305.0,21.600566572237963,201.18733509234826,171.85952021799426,179.18781725888323
2024-12-01,6.14,6.621852292092106,18631.0,7100.5,0.52,1412,229.96742671009773,307.0,21.742209631728045,202.5065963060686,172.75315069826286,179.18781725888323
2025-01-01,6.18,6.654345192396925,17793.0,7111.86,0.16,1518,245.63106796116506,309.0,20.35573122529644,203.8258575197889,173.02953627560703,192.63959390862942
2025-02-01,6.36,6.759605830926451,17015.0,7205.03,1.31,1518,238.67924528301884,318.0,20.948616600790515,209.76253298153034,175.2963359447229,192.63959390862942
2025-03-01,6.34,6.700822896797683,19844.0,7245.38,0.56,1518,239.43217665615143,317.0,20.88274044795784,209.10290237467018,176.27803999805363,192.63959390862942
2025-04-01,6.32,6.651080541026367,19037.0,7276.54,0.43,1518,240.18987341772151,316.0,20.816864295125164,208.44327176781002,177.03615395844486,192.63959390862942
2025-05-01,6.28,6.591845394258896,18007.0,7295.46,0.26,1518,241.71974522292993,314.0,20.685111989459813,207.12401055408972,177.49647219113427,192.63959390862942
